"_id","Код","Тип","CR","CR2","Описание","Дополнительная информация","Приоритет","Спринт","Номер фикса","Очередь разработчика","Очередь тестировщика","Плановая дата окончания работ","Вошло в сборку","Jira done","JIRA","Потребитель","Поставщик","Статус паспорта","Оценка на анализ","Оценка на разработку","Оценка на тестирование","Аналитик","Дата паспорта","Статус разработки","Дата разработки","Разработчик","Задача разработчика в JIRA","Статус тестирования","Дата тестирования","Примечания по тестированию","Статус разработки скрипта","Автор скрипта","Тестировщик","Группа тестов","Тестовое покрытие","Статус бизнес сервиса","WSDL url","Cервис"
"15bdd792-1633-4056-9565-edd84471d633","BS094","Доработка","CR072","","Необходимо добавить передачу номера догвора в CRM",,"",15,,,,,,,"","","","Согласовано",,,,"Влада","2015-01-20T00:00:00.000Z","Готово","2015-01-20T00:00:00.000Z","Доржинов П.","https://jira.neoflex.ru/browse/OTPSOADSVIDEV-1298","Готово",,"","Готово","Киршина","Комовникова","","Есть в SoupUI проекте","","http://m018esb-st:7800/AdpBPMOutSync","makeIntegrationRequest/startCardIssue"
"6124e312-d421-4a6a-af2d-ffff00ee1667","BS167","Сервис","","","Редактирование ФИО, Email, Телефон - через деактивацию исходной анкеты и создание ее предзаполненного клона (выносить на golive 100%)",,"","",,,,,,,"DEV-203","","","",,,,"Влада","","","","","","Не передан в тестирование",,"","","","","","","",,
"2a94ca25-eea0-434a-bace-51d90a65a9cd","BS159","Сервис","","","Автоматическое добавление нового номера телефона клиента при входящем звонке ",,"",25,,,,,,,"DEV-1204","","","В разработке",,,,"Настя","2015-02-09T00:00:00.000Z","","","","","Не передан в тестирование",,"","","","","","scheduler","","scheduler","SendMassSMS"
"48e0ae6f-0bbe-4a02-813c-cbbfd315f10a","BS168","Cancel","","","Автоматическая блокировка и восстановление лимитов",,"","",,,,,,,"DEV-656","ESB","АБС, ПЦ","Дубликат BS136",,,,"Даша","2014-12-18T00:00:00.000Z","","","","","Отменен",,"","","","","","","",,
"9bb713a4-e7e3-4aea-b8ba-fcdc46c61b72","BS184","Cancel","","","DEV-161 [ESB] изменение ОТВ в ПЦ при погашении просрочки с текущего счета в АБС",,"",15,,,,,,,"DEV-1683","АБС","MCCM, ПЦ","Внутреннее ревью",,,,"Даша","2015-01-28T00:00:00.000Z","Готово","","Басурин М.","Был ранее реализован, сейчас только паспорт пишем","Отменен",,"","","","","","","","",""
"c4c6f0ab-e0ca-43e1-8ac0-777ca9eb4ddc","BS016","Сервис","","","Поиск компании в SPARK из БП",,"",6,,,,,,,"DEV-553, DEV-544","BPM","BS14","Согласовано",,,,"Влада","","Готово","","","","Готово",,"","","","Комовникова","Client Interation","Есть в SoupUI проекте","","http://m018esb-st:7800/AdpBPMOutSync","makeIntegrationRequest"
"37d494e3-0717-4d66-a5da-e43ba2ef3655","BS192","Cancel","","","MCCM-BackBase: Передача событий/откликов в  Interact",,"","",,,,,,,"DEV-439","","","Дубликат BS117",,,,"Тоня","","","","","","Отменен",,"","","","","","","",,
"f5408071-09b2-4a9a-8ec2-40b1bc660a2a","TS228","Сервис","","","Диспетчер для работы с витриной АБС",,"",18,"sprint18_v1",,,,,,"DEV-1357","","","Согласовано",,,,"Влада","2015-02-25T00:00:00.000Z","Готово","2015-02-27T00:00:00.000Z","Шинкарев Е.","https://jira.neoflex.ru/browse/OTPSOADSVIDEV-1803","Готово",,"31.03.2015","Готово","Беляева","Беззубов","","scheduler","","scheduler","GetEventService"
"12adddd8-f071-4372-90b0-a19a21ac9997","BS110,BS119,BS129,BS105,BS205,BS97","Доработка","CR101","","Сохранение PersonID в CommunicationDB",,"",16,,,,,,,"DEV-2039","MCCM","CommunicationDB","Согласовано",,,,"Настя","2015-02-12T00:00:00.000Z","Готово","2015-02-20T00:00:00.000Z","Шинкарев Е.","","Готово",,"Готово","","","Беззубов","","","","",""
"e8f42777-48e4-4d86-ac77-da6df908e013","ApplicationDB","Доработка","CR061","","Добавление техполей в AppDb",,"Критично",17,,,,,,,"DEV-1941","ApplicationDb","AppDb","Согласовано",,,,"Влада","2015-01-13T00:00:00.000Z","Готово","2015-02-18T00:00:00.000Z","Доржинов П.","https://jira.neoflex.ru/browse/OTPSOADSVIDEV-1163","Готово",,"","","","Беззубов","","","",,
